FILE NAME	ERROR	PRECISION	RECALL
a960522_	2.99%	0.98	0.99
a960523_	2.21%	0.98	0.99
b960529_	6.67%	0.94	0.99
b960530_	3.47%	0.98	0.98
b960531a	4.11%	0.99	0.97
c960516_	1.12%	0.99	1.00
c960517_	2.69%	0.98	0.99
c960520_	1.97%	0.98	1.00
d960515_	1.84%	0.99	0.99
d960530a	1.22%	0.99	1.00
d960530b	2.16%	0.99	0.99
e960510a	2.02%	0.99	0.99
e960510b	2.63%	0.99	0.99
e960513a	0.58%	1.00	1.00
f960531_	4.99%	0.98	0.97
f960603a	11.24%	0.90	0.99
f960603b	2.61%	0.99	0.98
g960515_	1.70%	0.99	0.99
g960516_	1.81%	0.99	1.00
g960517_	0.81%	0.99	1.00
h960514_	1.65%	0.99	0.99
h960516_	3.57%	0.97	0.99
h960517_	3.60%	0.99	0.98
i960531_	2.42%	0.98	1.00
i960604_	0.52%	1.00	1.00
i960605_	0.38%	1.00	1.00
j960520a	3.76%	0.99	0.98
j960520b	9.14%	0.92	1.00
k960523_	3.42%	0.99	0.98
k960524_	3.80%	0.97	0.99
k960529_	1.90%	1.00	0.98
AVERAGE	3.00%	0.98	0.99
